MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1923173	Dnttip2	deoxynucleotidyltransferase, terminal, interacting protein 2	3		nucleolus			IBA	PTN000495509 	J:265628 	
MGI:1923173	Dnttip2	deoxynucleotidyltransferase, terminal, interacting protein 2	3		nucleolus			ISO	Q5QJE6 	J:164563 	
MGI:109446	Doc2a	double C2, alpha	7		nucleolus			ISO	Q14183 	J:164563 	
MGI:1918006	Dock4	dedicator of cytokinesis 4	12		nucleolus			ISO	Q8N1I0 	J:164563 	
MGI:1913882	Dph6	diphthamine biosynthesis 6	2		nucleolus			ISO	Q7L8W6 	J:164563 	
MGI:1914184	Dsn1	DSN1 homolog, MIS12 kinetochore complex component	2		fibrillar center			ISO	Q9H410 	J:164563 	
MGI:1914184	Dsn1	DSN1 homolog, MIS12 kinetochore complex component	2		nucleolus			ISO	Q9H410 	J:164563 	
MGI:1924093	Dtl	denticleless E3 ubiquitin protein ligase	1		nucleolus			ISO	Q9NZJ0 	J:164563 	
MGI:1919352	Dusp11	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	6		fibrillar center			ISO	O75319 	J:164563 	
MGI:105091	E2f5	E2F transcription factor 5	3		fibrillar center			ISO	Q15329 	J:164563 	
MGI:105091	E2f5	E2F transcription factor 5	3		nucleolus			ISO	Q15329 	J:164563 	
MGI:1922038	E2f8	E2F transcription factor 8	7		nucleolus			ISO	A0AVK6 	J:164563 	
MGI:1916322	Ebna1bp2	EBNA1 binding protein 2	4		nucleolus			IBA	PTN000315113 	J:265628 	
MGI:1916322	Ebna1bp2	EBNA1 binding protein 2	4		nucleolus			ISO	Q99848 	J:164563 	
MGI:1891227	Edf1	endothelial differentiation-related factor 1	2		nucleolus			ISO	O60869 	J:164563 	
MGI:1096881	Eef1a1	eukaryotic translation elongation factor 1 alpha 1	9		nucleolus			ISO	P68104 	J:164563 	
MGI:1913906	Eef1d	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	15		fibrillar center			ISO	P29692 	J:164563 	
MGI:1913393	Eef1e1	eukaryotic translation elongation factor 1 epsilon 1	13		nucleolus			ISO	O43324 	J:164563 	
MGI:2148922	Ehmt2	euchromatic histone lysine N-methyltransferase 2	17	NOT	nucleolus			IDA		J:114884 	
MGI:1913591	Eid3	EP300 interacting inhibitor of differentiation 3	10		nucleolus			ISO	Q8N140 	J:164563 	
MGI:95301	Eif3a	eukaryotic translation initiation factor 3, subunit A	19		nucleolus			ISO	Q14152 	J:164563 	
MGI:2386251	Eif3l	eukaryotic translation initiation factor 3, subunit L	15		fibrillar center			IDA		J:78329 	
MGI:2386251	Eif3l	eukaryotic translation initiation factor 3, subunit L	15		nucleolus			IDA		J:78329 	
MGI:1923731	Eif4a3	eukaryotic translation initiation factor 4A3	11		nucleolus			IBA	PTN002777794 	J:265628 	
MGI:3644226	Eif4a3l1	eukaryotic translation initiation factor 4A3 like 1	6		nucleolus			IBA	PTN002777794 	J:265628 	
MGI:3646594	Eif4a3l2	eukaryotic translation initiation factor 4A3 like 2	6		nucleolus			IBA	PTN002777794 	J:265628 	
MGI:1196288	Eif6	eukaryotic translation initiation factor 6	2		nucleolus			IBA	PTN000082061 	J:265628 	
MGI:2673679	Ell3	elongation factor RNA polymerase II-like 3	2		nucleolus			ISO	Q9HB65 	J:164563 	
MGI:1921445	Elp3	elongator acetyltransferase complex subunit 3	14		nucleolus			ISO	Q9H9T3 	J:164563 	
MGI:1315195	Emg1	EMG1 N1-specific pseudouridine methyltransferase	6		nucleolus			IBA	PTN000290839 	J:265628 	
MGI:1315195	Emg1	EMG1 N1-specific pseudouridine methyltransferase	6		nucleolus			ISO	Q92979 	J:164563 	
MGI:95387	Emx1	empty spiracles homeobox 1	6		nucleolus			ISO	Q04741 	J:164563 	
MGI:95390	En2	engrailed 2	5		fibrillar center			ISO	P19622 	J:164563 	
MGI:95390	En2	engrailed 2	5		nucleolus			ISO	P19622 	J:164563 	
MGI:109610	Enc1	ectodermal-neural cortex 1	13		nucleolus			ISO	RGD:1303152 	J:155856 	
MGI:2444688	Endov	endonuclease V	11		nucleolus			IBA	PTN002003289 	J:265628 	
MGI:2444688	Endov	endonuclease V	11		nucleolus			ISO	Q8N8Q3 	J:164563 	
MGI:1100494	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	14		B-WICH complex			ISO	Q03468 	J:164563 	
MGI:1100494	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	14		nucleolus			IC		J:319968 	
MGI:1100494	Ercc6	excision repair cross-complementing rodent repair deficiency, complementation group 6	14		nucleolus			ISO	Q03468 	J:73065 	
MGI:1914706	Ergic2	ERGIC and golgi 2	6		nucleolus			ISO	Q96RQ1 	J:164563 	
MGI:1914526	Eri1	exoribonuclease 1	8		nucleolus			IBA	PTN000549023 	J:265628 	
MGI:1914526	Eri1	exoribonuclease 1	8		nucleolus			IDA		J:146701 	
MGI:1914526	Eri1	exoribonuclease 1	8		nucleolus			ISO	Q8IV48 	J:164563 	
MGI:1346831	Esrra	estrogen related receptor, alpha	19		fibrillar center			ISO	P11474 	J:164563 	
MGI:99423	Etv4	ets variant 4	11		nucleolus			ISO	P43268 	J:164563 	
MGI:109336	Etv6	ets variant 6	6		nucleolus			ISO	P41212 	J:164563 	
MGI:99960	Ewsr1	Ewing sarcoma breakpoint region 1	11		nucleolus			ISO	RGD:1307258 	J:155856 	
MGI:99960	Ewsr1	Ewing sarcoma breakpoint region 1	11		nucleolus			ISO	Q01844 	J:164563 	
MGI:1913833	Exosc1	exosome component 1	19		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1913833	Exosc1	exosome component 1	19		nucleolus			ISO	NM_016046 	J:73065 	
MGI:1913833	Exosc1	exosome component 1	19		nucleolus			ISO	Q9Y3B2 	J:164563 	
MGI:2385133	Exosc2	exosome component 2	2		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:2385133	Exosc2	exosome component 2	2		nucleolus			ISO	Q13868 	J:164563 	
MGI:1913612	Exosc3	exosome component 3	4		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1913612	Exosc3	exosome component 3	4		nucleolus			ISO	Q9NQT5 	J:164563 	
MGI:1923576	Exosc4	exosome component 4	15		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1923576	Exosc4	exosome component 4	15		nucleolus			IBA	PTN000237329 	J:265628 	
MGI:1923576	Exosc4	exosome component 4	15		nucleolus			ISO	Q9NPD3 	J:164563 	
MGI:107889	Exosc5	exosome component 5	7		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:107889	Exosc5	exosome component 5	7		nucleolus			IBA	PTN000237329 	J:265628 	
MGI:107889	Exosc5	exosome component 5	7		nucleolus			ISO	Q9NQT4 	J:164563 	
MGI:1919794	Exosc6	exosome component 6	8		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1919794	Exosc6	exosome component 6	8		nucleolus			IBA	PTN000237329 	J:265628 	
MGI:1919794	Exosc6	exosome component 6	8		nucleolus			ISO	Q5RKV6 	J:164563 	
MGI:1913696	Exosc7	exosome component 7	9		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1913696	Exosc7	exosome component 7	9		nucleolus			ISO	Q15024 	J:164563 	
MGI:1916889	Exosc8	exosome component 8	3		fibrillar center			ISO	Q96B26 	J:164563 	
MGI:1916889	Exosc8	exosome component 8	3		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1916889	Exosc8	exosome component 8	3		nucleolus			ISO	Q96B26 	J:164563 	
MGI:1355319	Exosc9	exosome component 9	3		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1355319	Exosc9	exosome component 9	3		nucleolus			ISO	Q06265 	J:164563 	
MGI:1355319	Exosc9	exosome component 9	3		nucleolus			TAS		J:61080 	
MGI:1355322	Exosc10	exosome component 10	4		nucleolar exosome (RNase complex)			IC		J:320264 	
MGI:1355322	Exosc10	exosome component 10	4		nucleolus			IBA	PTN000252264 	J:265628 	
MGI:1355322	Exosc10	exosome component 10	4		nucleolus			ISO	Q01780 	J:164563 	
MGI:1355322	Exosc10	exosome component 10	4		nucleolus			TAS		J:61080 	
MGI:109341	Eya2	EYA transcriptional coactivator and phosphatase 2	2	NOT	nucleolus			IDA		J:74329 	
MGI:98931	Ezr	ezrin	17		fibrillar center			ISO	P15311 	J:164563 	
MGI:1915172	Fam32a	family with sequence similarity 32, member A	8		nucleolus			IBA	PTN000328467 	J:265628 	
MGI:1915172	Fam32a	family with sequence similarity 32, member A	8		nucleolus			ISO	Q9Y421 	J:164563 	
MGI:1915508	Fam111a	family with sequence similarity 111, member A	19		fibrillar center			ISO	Q96PZ2 	J:164563 	
MGI:2385851	Fam193b	family with sequence similarity 193, member B	13		nucleolus			ISO	Q96PV7 	J:164563 	
MGI:1916334	Fam207a	family with sequence similarity 207, member A	10		nucleolus			IEA	IPR028160 	J:72247 	
MGI:2448480	Fancd2	Fanconi anemia, complementation group D2	6		nucleolus			ISO	Q9BXW9 	J:164563 	
MGI:1926471	Fancg	Fanconi anemia, complementation group G	4		nucleolus			ISO	O15287 	J:164563 	
MGI:95486	Fbl	fibrillarin	7		dense fibrillar component			ISO	RGD:1305542 	J:155856 	
MGI:95486	Fbl	fibrillarin	7		fibrillar center			ISO	P22087 	J:164563 	
MGI:95486	Fbl	fibrillarin	7		granular component	is a part of fibroblast		IDA		J:94174 	
MGI:95486	Fbl	fibrillarin	7		nucleolus			IBA	PTN000036742 	J:265628 	
MGI:95486	Fbl	fibrillarin	7		nucleolus	is a part of oocyte		IDA		J:114487 	
MGI:95486	Fbl	fibrillarin	7		nucleolus	is a part of fibroblast		IDA		J:89938 	
MGI:95486	Fbl	fibrillarin	7		nucleolus			IDA		J:23791 J:74707 J:83658 J:100984 J:106641 J:138546 J:162045 J:197929 	
MGI:95486	Fbl	fibrillarin	7		nucleolus			ISO	RGD:1305542 	J:155856 	
MGI:95486	Fbl	fibrillarin	7		nucleolus			ISO	P22087 	J:117454 J:164563 	
MGI:95486	Fbl	fibrillarin	7		nucleolus			ISS	P22087 	J:93906 	
MGI:1921452	Fblim1	filamin binding LIM protein 1	4		fibrillar center			ISO	Q8WUP2 	J:164563 	
MGI:3034689	Fbll1	fibrillarin-like 1	11		fibrillar center			ISO	A6NHQ2 	J:164563 	
MGI:3034689	Fbll1	fibrillarin-like 1	11		nucleolus			IBA	PTN000036742 	J:265628 	
MGI:1921415	Fbxl22	F-box and leucine-rich repeat protein 22	9		nucleolus			ISO	Q6P050 	J:164563 	
MGI:2147134	Fbxo11	F-box protein 11	17		nucleolus			ISO	Q86XK2 	J:164563 	
MGI:1354695	Fbxw7	F-box and WD-40 domain protein 7	3		nucleolus			IDA		J:138546 	
MGI:1354695	Fbxw7	F-box and WD-40 domain protein 7	3		nucleolus			ISO	Q969H0 	J:164563 	
MGI:1920986	Fcf1	FCF1 rRNA processing protein	12		nucleolus			IBA	PTN000275999 	J:265628 	
MGI:102779	Fen1	flap structure specific endonuclease 1	19		nucleolus			ISO	P39748 	J:164563 	
MGI:95515	Fgf1	fibroblast growth factor 1	18		nucleolus			ISO	RGD:2605 	J:155856 	
MGI:1277980	Fgf18	fibroblast growth factor 18	11		nucleolus			ISO	O76093 	J:164563 	
MGI:1914362	Fgf22	fibroblast growth factor 22	10		nucleolus			IDA		J:84622 	
MGI:1277947	Fhit	fragile histidine triad gene	14		fibrillar center			ISO	P49789 	J:164563 	
MGI:1917848	Filip1	filamin A interacting protein 1	9		nucleolus			ISO	Q7Z7B0 	J:164563 	
MGI:95556	Flna	filamin, alpha	X		nucleolus			ISO	P21333 	J:164563 	
MGI:1859252	Fmn2	formin 2	1		nucleolus			ISO	Q9NZ56 	J:164563 	
MGI:95564	Fmr1	FMRP translational regulator 1	X		nucleolus			ISO	Q06787 	J:164563 	
MGI:1347472	Foxa1	forkhead box A1	12		fibrillar center			ISO	P55317 	J:164563 	
MGI:1096329	Foxi1	forkhead box I1	11		nucleolus			ISO	Q12951 	J:164563 	
MGI:1926805	Foxj2	forkhead box J2	6		fibrillar center			ISO	Q9P0K8 	J:164563 	
MGI:893597	Frg1	FSHD region gene 1	8		nucleolus			IBA	PTN000309119 	J:265628 	
MGI:1860295	Ftsj3	FtsJ RNA methyltransferase homolog 3 (E. coli)	11		nucleolus			IBA	PTN000100393 	J:265628 	
MGI:1860295	Ftsj3	FtsJ RNA methyltransferase homolog 3 (E. coli)	11		nucleolus			ISO	Q8IY81 	J:164563 	
MGI:1930948	Gar1	GAR1 ribonucleoprotein	3		box H/ACA snoRNP complex			IBA	PTN000579935 	J:265628 	
MGI:1930948	Gar1	GAR1 ribonucleoprotein	3		box H/ACA snoRNP complex			ISO	RGD:1563995 	J:155856 	
MGI:1930948	Gar1	GAR1 ribonucleoprotein	3		box H/ACA snoRNP complex			ISO	Q9NY12 	J:164563 	
MGI:1930948	Gar1	GAR1 ribonucleoprotein	3		dense fibrillar component			ISO	AJ276003 	J:65787 	
MGI:1930948	Gar1	GAR1 ribonucleoprotein	3		fibrillar center			ISO	Q9NY12 	J:164563 	
MGI:2141656	Gcfc2	GC-rich sequence DNA binding factor 2	6		nucleolus			ISO	P16383 	J:164563 	
MGI:1913853	Gemin2	gem nuclear organelle associated protein 2	12		nucleolus			ISO	O14893 	J:164563 	
MGI:2449313	Gemin4	gem nuclear organelle associated protein 4	11		nucleolus			ISO	P57678 	J:73065 	
MGI:1928379	Get3	guided entry of tail-anchored proteins factor 3, ATPase	8		nucleolus			ISO	O43681 	J:164563 	
MGI:1914854	Get4	golgi to ER traffic protein 4	5		nucleolus			ISO	Q7L5D6 	J:164563 	
MGI:2181461	Ggn	gametogenetin	7		nucleolus		PR:Q80WJ1-3	IDA		J:84438 	
MGI:95722	Gjb4	gap junction protein, beta 4	4		nucleolus			ISO	Q9NTQ9 	J:164563 	
MGI:1921662	Gle1	GLE1 RNA export mediator (yeast)	2		nucleolus			ISO	Q53GS7 	J:164563 	
MGI:95728	Gli2	GLI-Kruppel family member GLI2	1		nucleolus			ISO	P10070 	J:164563 	
MGI:95729	Gli3	GLI-Kruppel family member GLI3	13		nucleolus			ISO	P10071 	J:164563 	
MGI:5141974	Gm20509	predicted gene 20509	9		nucleolus			IBA	PTN000082570 	J:265628 	
MGI:2385207	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)	4		nucleolus			IBA	PTN000119781 	J:265628 	
MGI:2385207	Gnl2	guanine nucleotide binding protein-like 2 (nucleolar)	4		nucleolus			ISO	Q13823 	J:164563 	
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	14		nucleolus			IBA	PTN000119956 	J:265628 	
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	14		nucleolus			IDA		J:80512 J:117454 	
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	14		nucleolus			ISO	RGD:631354 	J:155856 	
MGI:1353651	Gnl3	guanine nucleotide binding protein-like 3 (nucleolar)	14		nucleolus			ISO	Q9BVP2 	J:164563 	
MGI:2448557	Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	X		nucleolus			IBA	PTN000119956 	J:265628 	
MGI:2448557	Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	X		nucleolus			ISO	Q9NVN8 	J:164563 	
MGI:96958	Golga3	golgi autoantigen, golgin subfamily a, 3	5		nucleolus			ISO	Q08378 	J:164563 	
MGI:1917579	Gon4l	gon-4-like (C.elegans)	3		fibrillar center			ISO	Q9H869 	J:164563 	
MGI:1917579	Gon4l	gon-4-like (C.elegans)	3		nucleolus			ISO	Q9H869 	J:164563 	
MGI:4845848	Gon7	GON7 subunit of KEOPS complex	12		nucleolus			ISO	Q9BXV9 	J:164563 	
MGI:2138271	Gorab	golgin, RAB6-interacting	1		nucleolus			ISO	Q5T7V8 	J:164563 	
MGI:1913864	Gpatch4	G patch domain containing 4	3		nucleolus			IBA	PTN000567695 	J:265628 	
MGI:1924104	Gper1	G protein-coupled estrogen receptor 1	5		nucleolus			ISO	Q99527 	J:164563 	
MGI:1891250	Gprc5a	G protein-coupled receptor, family C, group 5, member A	6		nucleolus			ISO	Q8NFJ5 	J:164563 	
MGI:1927596	Gprc5b	G protein-coupled receptor, family C, group 5, member B	7		nucleolus			ISO	Q9NZH0 	J:164563 	
MGI:95805	Grb2	growth factor receptor bound protein 2	11		nucleolus			ISO	P62993 	J:164563 	
MGI:2141989	Grwd1	glutamate-rich WD repeat containing 1	7		nucleolus			ISO	Q9BQ67 	J:164563 	
MGI:107227	Gtf2h5	general transcription factor IIH, polypeptide 5	17		nucleolus			ISO	Q6ZYL4 	J:73065 	
MGI:107887	Gtf3c1	general transcription factor III C 1	7		nucleolus			ISO	Q12789 	J:164563 	
MGI:2138383	Gtf3c3	general transcription factor IIIC, polypeptide 3	1		nucleolus			ISO	Q9Y5Q9 	J:164563 	
MGI:1916487	Gtpbp4	GTP binding protein 4	13		nucleolus			IBA	PTN000193649 	J:265628 	
MGI:1916487	Gtpbp4	GTP binding protein 4	13		nucleolus			ISO	Q9BZE4 	J:164563 	
MGI:1921783	Gzf1	GDNF-inducible zinc finger protein 1	2		nucleolus			ISO	Q9H116 	J:164563 	
MGI:95893	H1f0	H1.0 linker histone	15	NOT	nucleolus			IDA		J:207809 	
MGI:1931527	H1f4	H1.4 linker histone, cluster member	13	NOT	nucleolus			IDA		J:207809 	
MGI:1861461	H1f5	H1.5 linker histone, cluster member	13		nucleolus			ISO	P16401 	J:164563 	
MGI:2176207	H1f8	H1.8 linker histone	6	NOT	nucleolus			IDA		J:207809 	
MGI:2685307	H1f10	H1.10 linker histone	6		nucleolus			ISO	Q92522 	J:164563 	
MGI:1891713	Habp4	hyaluronic acid binding protein 4	13		nucleolus			ISO	Q5JVS0 	J:164563 	
MGI:103577	Hand1	heart and neural crest derivatives expressed 1	11		nucleolus			IDA		J:152657 	
MGI:1261831	Hap1	huntingtin-associated protein 1	11		nucleolus			ISO	P54257 	J:164563 	
MGI:1920988	Haus7	HAUS augmin-like complex, subunit 7	X		nucleolus			ISO	Q99871 	J:164563 	
MGI:1919998	Hdhd3	haloacid dehalogenase-like hydrolase domain containing 3	4		nucleolus			ISO	Q9BSH5 	J:164563 	
MGI:2442524	Heatr1	HEAT repeat containing 1	13		fibrillar center			ISO	Q9H583 	J:164563 	
MGI:2442524	Heatr1	HEAT repeat containing 1	13		nucleolus			ISO	Q9H583 	J:164563 	
MGI:2442524	Heatr1	HEAT repeat containing 1	13		t-UTP complex			IBA	PTN000335845 	J:265628 	
MGI:2152895	Helb	helicase (DNA) B	10		nucleolus			IBA	PTN000433605 	J:265628 	
MGI:1914595	Herc4	hect domain and RLD 4	10		fibrillar center			ISO	Q5GLZ8 	J:164563 	
MGI:2142364	Hirip3	HIRA interacting protein 3	7		nucleolus			ISO	Q9BW71 	J:164563 	
MGI:2685821	Hjurp	Holliday junction recognition protein	1		nucleolus			ISO	Q8NCD3 	J:164563 	
MGI:96157	Hmgb2	high mobility group box 2	8		nucleolus			ISO	P26583 	J:164563 	
MGI:96163	Hmox1	heme oxygenase 1	8		nucleolus			ISO	RGD:2806 	J:155856 	
MGI:2678023	Homez	homeodomain leucine zipper-encoding gene	14		nucleolus			ISO	Q8IX15 	J:164563 	
MGI:96186	Hoxb5	homeobox B5	11		fibrillar center			ISO	P09067 	J:164563 	
MGI:96210	Hoxd9	homeobox D9	2		nucleolus			ISO	P28356 	J:164563 	
MGI:96233	Hsd3b1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3		nucleolus			ISO	P14060 	J:164563 	
MGI:96233	Hsd3b1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1	3		nucleolus			ISO	P26439 	J:164563 	
MGI:96234	Hsd3b2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	3		nucleolus			ISO	P14060 	J:164563 	
MGI:96234	Hsd3b2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2	3		nucleolus			ISO	P26439 	J:164563 	
MGI:96235	Hsd3b3	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 3	3		nucleolus			ISO	P14060 	J:164563 	
MGI:96235	Hsd3b3	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 3	3		nucleolus			ISO	P26439 	J:164563 	
MGI:96236	Hsd3b4	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 4	3		nucleolus			ISO	P14060 	J:164563 	
MGI:96236	Hsd3b4	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 4	3		nucleolus			ISO	P26439 	J:164563 	
MGI:104645	Hsd3b5	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5	3		nucleolus			ISO	P14060 	J:164563 	
MGI:104645	Hsd3b5	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5	3		nucleolus			ISO	P26439 	J:164563 	
MGI:109598	Hsd3b6	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 6	3		nucleolus			ISO	P14060 	J:164563 	
MGI:109598	Hsd3b6	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 6	3		nucleolus			ISO	P26439 	J:164563 	
MGI:3711284	Hsd3b8	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 8	3		nucleolus			ISO	P14060 	J:164563 	
MGI:3711284	Hsd3b8	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 8	3		nucleolus			ISO	P26439 	J:164563 	
MGI:3782634	Hsd3b9	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 9	3		nucleolus			ISO	P14060 	J:164563 	
MGI:3782634	Hsd3b9	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 9	3		nucleolus			ISO	P26439 	J:164563 	
MGI:2685325	Hspb6	heat shock protein, alpha-crystallin-related, B6	7		nucleolus			ISO	O14558 	J:164563 	
MGI:1277962	Hus1	HUS1 checkpoint clamp component	11		nucleolus			IEA	IPR016580 	J:72247 	
MGI:2671003	Hus1b	HUS1 checkpoint clamp component B	13		nucleolus			IEA	IPR016580 	J:72247 	
MGI:1099463	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	X		nucleolus			ISO	P51553 	J:164563 	
MGI:1337072	Ier5	immediate early response 5	1		nucleolus			ISO	Q5VY09 	J:164563 	
MGI:1347080	Ifi202a	interferon activated gene 202A	1		nucleolus			IBA	PTN000258203 	J:265628 	
MGI:96429	Ifi204	interferon activated gene 204	1		nucleolus			IBA	PTN000258203 	J:265628 	
MGI:96429	Ifi204	interferon activated gene 204	1		nucleolus			IDA		J:196277 	
MGI:96429	Ifi204	interferon activated gene 204	1		nucleolus			ISO	Q16666 	J:87001 J:164563 	
MGI:101847	Ifi205	interferon activated gene 205	1		nucleolus			IBA	PTN000258203 	J:265628 	
MGI:101847	Ifi205	interferon activated gene 205	1		nucleolus			ISO	P41218 	J:164563 	
MGI:101847	Ifi205	interferon activated gene 205	1		nucleolus			ISO	Q6K0P9 	J:164563 	
MGI:3646410	Ifi206	interferon activated gene 206	1		nucleolus			ISO	Q16666 	J:164563 	
MGI:2138302	Ifi207	interferon activated gene 207	1		nucleolus			ISO	Q16666 	J:164563 	
MGI:3041120	Ifi211	interferon activated gene 211	1		nucleolus			IBA	PTN000258203 	J:265628 	
MGI:3041120	Ifi211	interferon activated gene 211	1		nucleolus			ISO	P41218 	J:164563 	
MGI:1915031	Ilf2	interleukin enhancer binding factor 2	3		nucleolus			IDA		J:74487 	
MGI:1915031	Ilf2	interleukin enhancer binding factor 2	3		nucleolus			ISO	Q12905 	J:164563 	
MGI:1339973	Ilf3	interleukin enhancer binding factor 3	9		nucleolus			ISO	Q12906 	J:164563 	
MGI:1916119	Imp3	IMP3, U3 small nucleolar ribonucleoprotein	9		Mpp10 complex			IBA	PTN000216482 	J:265628 	
MGI:1916119	Imp3	IMP3, U3 small nucleolar ribonucleoprotein	9		Mpp10 complex			ISO	Q9NV31 	J:73065 	
MGI:1916119	Imp3	IMP3, U3 small nucleolar ribonucleoprotein	9		nucleolus			ISO	Q9NV31 	J:73065 	
MGI:106572	Imp4	IMP4, U3 small nucleolar ribonucleoprotein	1		fibrillar center			ISO	Q96G21 	J:164563 	
MGI:106572	Imp4	IMP4, U3 small nucleolar ribonucleoprotein	1		Mpp10 complex			IBA	PTN000506837 	J:265628 	
MGI:106572	Imp4	IMP4, U3 small nucleolar ribonucleoprotein	1		Mpp10 complex			ISO	Q96G21 	J:73065 	
MGI:106572	Imp4	IMP4, U3 small nucleolar ribonucleoprotein	1		nucleolus			IBA	PTN000506776 	J:265628 	
MGI:106572	Imp4	IMP4, U3 small nucleolar ribonucleoprotein	1		nucleolus			ISO	Q96G21 	J:73065 	
MGI:1917270	Ino80b	INO80 complex subunit B	6		nucleolus			ISO	Q9C086 	J:164563 	
MGI:2141881	Ino80e	INO80 complex subunit E	7		nucleolus			ISO	Q8NBZ0 	J:164563 	
MGI:1917164	Ints4	integrator complex subunit 4	7		nucleolus			ISO	Q96HW7 	J:164563 	
MGI:1351633	Ip6k1	inositol hexaphosphate kinase 1	9		fibrillar center			ISO	Q92551 	J:164563 	
MGI:1923750	Ip6k2	inositol hexaphosphate kinase 2	9		fibrillar center			ISO	Q9UHH9 	J:164563 	
MGI:1922928	Ippk	inositol 1,3,4,5,6-pentakisphosphate 2-kinase	13		nucleolus			ISO	Q9H8X2 	J:164563 	
MGI:1196356	Iqsec1	IQ motif and Sec7 domain 1	6		nucleolus			ISO	Q6DN90 	J:164563 	
MGI:1928895	Isg20	interferon-stimulated protein	7		nucleolus			ISO	Q96AZ6 	J:164563 	
MGI:96613	Itgb4	integrin beta 4	11		nucleolus			ISO	P16144 	J:164563 	
MGI:96623	Itpr1	inositol 1,4,5-trisphosphate receptor 1	6		nucleolus			IDA		J:99797 	
MGI:96624	Itpr3	inositol 1,4,5-triphosphate receptor 3	17		nucleolus			IDA		J:99797 	
MGI:96629	Jak2	Janus kinase 2	19		nucleolus			ISO	RGD:2939 	J:155856 	
MGI:2141450	Jazf1	JAZF zinc finger 1	6		fibrillar center			ISO	Q86VZ6 	J:164563 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		nucleolus			IDA		J:166667 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		nucleolus			ISO	Q6NYC1 	J:164563 	
MGI:1096361	Jpt1	Jupiter microtubule associated homolog 1	11		nucleolus			ISO	Q9UK76 	J:164563 	
MGI:1932051	Kat5	K(lysine) acetyltransferase 5	19		nucleolus			ISO	Q92993 	J:164563 	
MGI:2442415	Kat6a	K(lysine) acetyltransferase 6A	8		nucleolus			ISO	Q92794 	J:164563 	
MGI:1919675	Katnbl1	katanin p80 subunit B like 1	2		nucleolus			IBA	PTN001027459 	J:265628 	
MGI:1919675	Katnbl1	katanin p80 subunit B like 1	2		nucleolus			ISO	Q9H079 	J:164563 	
MGI:2446210	Kdm4a	lysine (K)-specific demethylase 4A	4		fibrillar center			ISO	O75164 	J:164563 	
MGI:99780	Kdm5d	lysine (K)-specific demethylase 5D	Y		fibrillar center			ISO	Q9BY66 	J:164563 	
MGI:2443388	Kdm7a	lysine (K)-specific demethylase 7A	6		nucleolus			ISO	Q6ZMT4 	J:164563 	
MGI:108390	Kif2a	kinesin family member 2A	13		nucleolus			ISO	O00139 	J:164563 	
